상품코드,상품명,가격,컬러,제품정보매칭,제품정보이미지
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,72000,블랙,YES,assets/aug_info/info_014_TIA-S860.png
TIA-S861,오렌지 플라워 쉬폰 캉캉 롱드레스,104000,오렌지,NO,
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,75000,아이보리,YES,assets/aug_info/info_015_TIA-S863_TIA-S862.png
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,75000,블랙,YES,assets/aug_info/info_015_TIA-S863_TIA-S862.png
TIA-S864,화이트 레이스 크롭 투피스,,아이보리,YES,assets/aug_info/info_016_TIA-S865_TIA-S864.png
TIA-S865,블랙 레이스 크롭 투피스,,블랙,YES,assets/aug_info/info_016_TIA-S865_TIA-S864.png
TIA-S866,아이보리 플라워 코르셋 투피스,153000,아이보리,YES,assets/aug_info/info_017_TIA-S866.png
TIA-S867,그레이 셔링 홀터 미니원피스,54000,그레이,NO,
TIA-S868,아이보리 컷아웃 원숄더 미디원피스,153000,아이보리,NO,
TIA-S869,블랙 컷아웃 원숄더 미디원피스,153000,블랙,NO,
TIA-S870,아이보리 트위드 버튼 미니원피스,237000,아이보리,YES,assets/aug_info/info_018_TIA-S870_TIA-S871.png
TIA-S871,민트 트위드 버튼 미니원피스,237000,민트,YES,assets/aug_info/info_018_TIA-S870_TIA-S871.png
TIA-S872,블랙 셔링 홀터 미니원피스,54000,블랙,NO,
TIA-S873,아이보리 트위드 홀터 투피스,320000,아이보리,YES,assets/aug_info/info_019_TIA-S873.png
TIA-S874,베이지 진주라인 트위드 미니원피스,237000,베이지,NO,
TIA-S875,스트랩 플리츠 미니원피스,,라벤더핑크 / 핑크,NO,
TIA-S876,세피아 쉬폰 투피스,,베이지 / 아이보리,NO,
TIA-S877,아이보리 진주스트랩 캉캉 미니원피스,300000,아이보리,NO,
TIA-S891,베이지 드레이프 오프숄더 미니원피스,68000,베이지,YES,assets/aug_info/info_020_TIA-S891.png
TIA-S892,아이보리 진주라인 트위드 미니원피스,232000,아이보리,YES,assets/aug_info/info_021_TIA-S892_TIA-S893.png
TIA-S893,핑크 진주라인 트위드 미니원피스,232000,핑크,YES,assets/aug_info/info_021_TIA-S892_TIA-S893.png
TIA-S894,아이보리 블랙리본 플리츠 롱드레스,86000,아이보리,YES,assets/aug_info/info_022_TIA-S894.png
TIA-S895,아이보리 레이스 프릴 머메이드 투피스,144000,아이보리,NO,
TIA-S896,아이보리 골드버튼 트위드 미니원피스,88000,아이보리,NO,
TIA-S897,프릴카라 미니 투피스,88000,민트,NO,
TIA-S898,프릴카라 미니 투피스,88000,그레이,NO,
TIA-S899,프릴카라 미니 투피스,88000,블랙,NO,
TIA-S900,아이보리 큐빅 오프숄더 미니원피스,81000,아이보리,YES,assets/aug_info/info_023_TIA-S900.png
TIA-S901,아이보리 프리미엄 큐빅 오프숄더 미니원피스,104000,아이보리,YES,assets/aug_info/info_024_TIA-S901.png
TIA-S902,리본벨트 카라 미니원피스,72000,소라배색,NO,
TIA-S903,그레이 꼬임스트랩 니트 미니원피스,63000,그레이,NO,
TIA-S904,모카 꼬임스트랩 니트 롱원피스,72000,모카,NO,
TIA-S905,아이보리 리본 튜브탑 쇼츠 투피스,320000,아이보리,NO,
TIA-S906,다크그레이 리본 튜브탑 쇼츠 투피스,320000,다크그레이,NO,
TIA-S921,아이보리 블랙리본 레이스 투피스,109000,아이보리/블랙,YES,assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S922,블랙리본 레이스 투피스,109000,블랙/아이보리,YES,assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S923,핑크 블랙리본 레이스 투피스,109000,핑크,YES,assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S924,브로치 카라 투피스,100000,화이트,YES,assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S925,브로치 카라 투피스,100000,크림/베이지,YES,assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S926,브로치 카라 투피스,100000,블랙,YES,assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S927,베이지 카라 베스트 시퀸 투피스,330000,베이지,YES,assets/aug_info/info_027_TIA-S927.png
TIA-S928,체인 프린트 나시탑 세트,88000,아이보리,YES,assets/aug_info/info_028_TIA-S928_TIA-S929.png | assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png
TIA-S929,체인 프린트 나시탑 세트,88000,블랙/베이지,YES,assets/aug_info/info_028_TIA-S928_TIA-S929.png | assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png
TIA-S930,도트 프린트 나시탑 세트,88000,소라,YES,assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png | assets/aug_info/info_030_TIA-S930.png
TIA-S931,리본 플레어 미니원피스,126000,아이보리,YES,assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S932,리본 플레어 미니원피스,126000,옐로우,YES,assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S933,리본 플레어 미니원피스,126000,소라,YES,assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S934,리본 플레어 미니원피스,126000,블랙,YES,assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S935,드레이프 오프숄더 미디원피스,129000,아이보리,YES,assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S936,드레이프 오프숄더 미디원피스,129000,라벤더,YES,assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S937,드레이프 오프숄더 미디원피스,129000,블랙,YES,assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S938,브라운 셔링 홀터 미니원피스,63000,브라운,YES,assets/aug_info/info_033_TIA-S938.png
PEARL-S911,블루 버클라인 미니원피스,162000,블루,YES,assets/aug_info/info_007_PEARL-S911_PEARL-S912.png
PEARL-S912,블랙 버클라인 미니원피스,162000,블랙,YES,assets/aug_info/info_007_PEARL-S911_PEARL-S912.png
PEARL-S913,아이보리 버튼 슬림 미디원피스,135000,아이보리,YES,assets/aug_info/info_008_PEARL-S913_PEARL-S914.png
PEARL-S914,핑크 버튼 슬림 미디원피스,135000,핑크,YES,assets/aug_info/info_008_PEARL-S913_PEARL-S914.png
PEARL-S915,아이보리 버클포인트 미니원피스,135000,아이보리,YES,assets/aug_info/info_009_PEARL-S915_PEARL-S916.png
PEARL-S916,블랙 버클포인트 미니원피스,135000,블랙,YES,assets/aug_info/info_009_PEARL-S915_PEARL-S916.png
HEP-S884,브라운 버클 슬릿 미니원피스,126000,브라운,YES,assets/aug_info/info_002_HEP-S884_HEP-S885.png
HEP-S885,그레이 버클 슬릿 미니원피스,126000,그레이,YES,assets/aug_info/info_002_HEP-S884_HEP-S885.png
HIYA-S882,핑크 트위드 퍼프 투피스,162000,핑크,YES,assets/aug_info/info_003_HIYA-S882_HIYA-S883.png
HIYA-S883,민트 트위드 퍼프 투피스,162000,민트,YES,assets/aug_info/info_003_HIYA-S882_HIYA-S883.png
