상품코드,거래처코드,공개상품명,원본제품설명,내부가격/원산지메모,스마트스토어 원산지 체크,내부비고
TIA-S929,S929,터치벨트 팬츠 투피스,"터치벨트나시 아검 프리 
럭스팬츠 아검베 sm","국내제작 19000
수입 30000",국내제작,
TIA-S930,S930,터치도트 팬츠 투피스,"터치도트나시 아소핑 프리사이즈 
럭스팬츠 아검베 sm 수입 30000","국내제작 19000
수입 30000",국내제작,
TIA-S931,S931,쇼퍼 미니 원피스,쇼퍼원피스 아  sm,,확인필요,
TIA-S932,S932,쇼퍼 미니 원피스,쇼퍼원피스 노  sm,,확인필요,
TIA-S933,S933,쇼퍼 미니 원피스,쇼퍼원피스 소  sm,,확인필요,
TIA-S934,S934,쇼퍼 미니 원피스,쇼퍼원피스 검  sm,,확인필요,
TIA-S935,S935,쉐리 원피스,쉐리원피스 아 sm,,확인필요,
TIA-S936,S936,쉐리 원피스,쉐리원피스 라벤더 sm,,확인필요,
TIA-S937,S937,쉐리 원피스,쉐리원피스 검 sm,,확인필요,
TIA-S938,S938,세르펜티 원피스,세르펜티원피스 브라운 sm,수입 35000,수입확인필요,
