code,name,before_cap,after_cap,before_zipper,after_zipper,wear_tables,image_ref_removed
TIA-S894,아이보리 블랙리본 플리츠 롱드레스,없음,없음,옆지퍼,옆지퍼,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=옆지퍼",
TIA-S900,아이보리 큐빅 오프숄더 미니원피스,,없음,없음,뒷지퍼,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S901,아이보리 프리미엄 큐빅 오프숄더 미니원피스,없음,없음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S921,아이보리 블랙리본 레이스 투피스,있음,있음,,뒷지퍼,"스커트 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S922,블랙리본 레이스 투피스,있음,있음,,뒷지퍼,"스커트 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S923,핑크 블랙리본 레이스 투피스,,,,,제품정보 이미지 참조 제거만 적용,Y
TIA-S924,브로치 카라 투피스,없음,없음,,없음,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=있음, 두께감=보통, 지퍼=없음",
TIA-S925,브로치 카라 투피스,없음,없음,,없음,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=있음, 두께감=보통, 지퍼=없음",
TIA-S926,브로치 카라 투피스,없음,없음,,없음,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=있음, 두께감=보통, 지퍼=없음",
TIA-S927,베이지 카라 베스트 시퀸 투피스,없음,없음,없음,없음,"상의 착용 정보: 신축성=없음, 캡여부=없음, 어깨패드=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S928,체인 프린트 나시탑 세트,있음,없음,,상의 없음 / 숏팬츠 앞지퍼,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음 | 숏팬츠 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=앞지퍼",
TIA-S929,체인 프린트 나시탑 세트,있음,없음,,상의 없음 / 숏팬츠 앞지퍼,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음 | 숏팬츠 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=앞지퍼",
TIA-S930,도트 프린트 나시탑 세트,있음,없음,,숏팬츠 앞지퍼 / 상의 없음,"숏팬츠 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=앞지퍼 | 상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S931,리본 플레어 미니원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S932,리본 플레어 미니원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S933,리본 플레어 미니원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S934,리본 플레어 미니원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S935,드레이프 오프숄더 미디원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=약간, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S936,드레이프 오프숄더 미디원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=약간, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S937,드레이프 오프숄더 미디원피스,있음,있음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=약간, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S938,브라운 셔링 홀터 미니원피스,없음,없음,옆지퍼,옆지퍼,"착용 정보: 신축성=좋음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=옆지퍼",
PEARL-S911,블루 버클라인 미니원피스,없음,있음,없음,상의 앞지퍼 / 스커트 뒷지퍼,"상의 착용 정보: 신축성=있음, 캡여부=있음, 안감=부분, 비침=있음, 두께감=보통, 지퍼=앞지퍼 | 스커트 착용 정보: 신축성=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
PEARL-S912,블랙 버클라인 미니원피스,없음,있음,없음,상의 앞지퍼 / 스커트 뒷지퍼,"상의 착용 정보: 신축성=있음, 캡여부=있음, 안감=부분, 비침=있음, 두께감=보통, 지퍼=앞지퍼 | 스커트 착용 정보: 신축성=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
PEARL-S913,아이보리 버튼 슬림 미디원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
PEARL-S914,핑크 버튼 슬림 미디원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
PEARL-S915,아이보리 버클포인트 미니원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
PEARL-S916,블랙 버클포인트 미니원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
HEP-S884,브라운 버클 슬릿 미니원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
HEP-S885,그레이 버클 슬릿 미니원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
HIYA-S882,핑크 트위드 퍼프 투피스,,있음,,상의 뒷지퍼 / 스커트 뒷지퍼,"상의 착용 정보: 신축성=있음, 캡여부=있음, 안감=부분, 비침=있음, 두께감=보통, 지퍼=뒷지퍼 | 스커트 착용 정보: 신축성=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
HIYA-S883,민트 트위드 퍼프 투피스,,있음,,상의 뒷지퍼 / 스커트 뒷지퍼,"상의 착용 정보: 신축성=있음, 캡여부=있음, 안감=부분, 비침=있음, 두께감=보통, 지퍼=뒷지퍼 | 스커트 착용 정보: 신축성=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
