code,상품명,원본이미지,대표이미지,상세이미지개수,생성상태,검수상태,비고
ANC-4014,더블버튼 레이스 원피스,assets/ANC-4014_01.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4015,랩카라 셔링 원피스,assets/ANC-4015_01.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4016,스트라이프니트 플레어 원피스,assets/ANC-4016_01.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4017,레이스시스루 셔링 원피스,assets/ANC-4017_01.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4018,숄더포인트 플레어 원피스,assets/ANC-4018_01.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4019,드레이프셔링 원피스,assets/ANC-4019_01.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4021,랩포인트 셔링 원피스,assets/ANC-4021_01.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4022,스퀘어넥 버튼 플레어 원피스,assets/ANC-4022_01.jpg,assets/products/ank/generated/ANC-4022/ANC-4022-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4023,러플숄더 셔링 원피스,assets/ANC-4023_01.jpg,assets/products/ank/generated/ANC-4023/ANC-4023-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4024,빅리본 플레어 원피스,assets/ANC-4024_01.jpg,assets/products/ank/generated/ANC-4024/ANC-4024-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4025,셔츠카라 랩스커트 원피스,assets/ANC-4025_01.jpg,assets/products/ank/generated/ANC-4025/ANC-4025-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4026,더블버튼 플레어 원피스,assets/ANC-4026_01.jpg,assets/products/ank/generated/ANC-4026/ANC-4026-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4027,프릴숄더 셔링 원피스,assets/ANC-4027_01.jpg,assets/products/ank/generated/ANC-4027/ANC-4027-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4028,배색라인 플레어 원피스,assets/ANC-4028_01.jpg,assets/products/ank/generated/ANC-4028/ANC-4028-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4029,스트라이프 리본 원피스,assets/ANC-4029_01.jpg,assets/products/ank/generated/ANC-4029/ANC-4029-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4030,레이스숄더 플레어 원피스,assets/ANC-4030_01.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4031,사이드드레이프 언발 원피스,assets/ANC-4031_01.jpg,assets/products/ank/generated/ANC-4031/ANC-4031-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4032,레이스플레어 원피스,assets/ANC-4032_01.jpg,assets/products/ank/generated/ANC-4032/ANC-4032-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4033,스퀘어넥 버튼 원피스,assets/ANC-4033_01.jpg,assets/products/ank/generated/ANC-4033/ANC-4033-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4034,프릴라인 플레어 원피스,assets/ANC-4034_01.jpg,assets/products/ank/generated/ANC-4034/ANC-4034-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4035,오프숄더 리본 원피스,assets/ANC-4035_01.jpg,assets/products/ank/generated/ANC-4035/ANC-4035-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4036,카라버튼 플레어 원피스,assets/ANC-4036_01.jpg,assets/products/ank/generated/ANC-4036/ANC-4036-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4037,리본블라우스 배색 원피스,assets/ANC-4037_01.jpg,assets/products/ank/generated/ANC-4037/ANC-4037-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4038,체크버튼 플레어 원피스,assets/ANC-4038_01.jpg,assets/products/ank/generated/ANC-4038/ANC-4038-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4039,배색플레어 원피스,assets/ANC-4039_01.jpg,assets/products/ank/generated/ANC-4039/ANC-4039-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4040,오프숄더 드레이프 원피스,assets/ANC-4040_01.jpg,assets/products/ank/generated/ANC-4040/ANC-4040-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4041,레이스블라우스 셔링 원피스,assets/ANC-4041_01.jpg,assets/products/ank/generated/ANC-4041/ANC-4041-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4042,셔츠카라 플레어 원피스,assets/ANC-4042_01.jpg,assets/products/ank/generated/ANC-4042/ANC-4042-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4043,레이스브이넥 셔링 원피스,assets/ANC-4043_01.jpg,assets/products/ank/generated/ANC-4043/ANC-4043-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4044,레이스라인 플레어 원피스,assets/ANC-4044_01.jpg,assets/products/ank/generated/ANC-4044/ANC-4044-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4045,카울넥 드레이프 원피스,assets/ANC-4045_01.jpg,assets/products/ank/generated/ANC-4045/ANC-4045-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4046,레이스백 셔링 원피스,assets/ANC-4046_01.jpg,assets/products/ank/generated/ANC-4046/ANC-4046-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4047,셔링리본 플레어 원피스,assets/ANC-4047_01.jpg,assets/products/ank/generated/ANC-4047/ANC-4047-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4048,배색카라 트임 원피스,assets/ANC-4048_01.jpg,assets/products/ank/generated/ANC-4048/ANC-4048-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4049,랩셔링 원피스,assets/ANC-4049_01.jpg,assets/products/ank/generated/ANC-4049/ANC-4049-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4050,레이스헴 플레어 원피스,assets/ANC-4050_01.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4051,스퀘어넥 셔링 원피스,assets/ANC-4051_01.jpg,assets/products/ank/generated/ANC-4051/ANC-4051-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4052,레이스플레어 원피스,assets/ANC-4052_01.jpg,assets/products/ank/generated/ANC-4052/ANC-4052-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4053,러플숄더 원피스,assets/ANC-4053_01.jpg,assets/products/ank/generated/ANC-4053/ANC-4053-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4054,더블버튼 플레어 원피스,assets/ANC-4054_01.jpg,assets/products/ank/generated/ANC-4054/ANC-4054-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4055,오프숄더 셔링 원피스,assets/ANC-4055_01.jpg,assets/products/ank/generated/ANC-4055/ANC-4055-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4056,빅리본 플레어 원피스,assets/ANC-4056_01.jpg,assets/products/ank/generated/ANC-4056/ANC-4056-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4057,잔셔링 원피스,assets/ANC-4057_01.jpg,assets/products/ank/generated/ANC-4057/ANC-4057-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4058,더블버튼 플레어 원피스,assets/ANC-4058_01.jpg,assets/products/ank/generated/ANC-4058/ANC-4058-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4059,오프숄더 셔링 원피스,assets/ANC-4059_01.jpg,assets/products/ank/generated/ANC-4059/ANC-4059-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4060,레이스숄더 플레어 원피스,assets/ANC-4060_01.jpg,assets/products/ank/generated/ANC-4060/ANC-4060-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4061,스트라이프 셔링 원피스,assets/ANC-4061_01.jpg,assets/products/ank/generated/ANC-4061/ANC-4061-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4062,레이스브이넥 플레어 원피스,assets/ANC-4062_01.jpg,assets/products/ank/generated/ANC-4062/ANC-4062-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4063,셔링카라 원피스,assets/ANC-4063_01.jpg,assets/products/ank/generated/ANC-4063/ANC-4063-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4064,하트버튼 플레어 원피스,assets/ANC-4064_01.jpg,assets/products/ank/generated/ANC-4064/ANC-4064-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4065,레이스백 러플 원피스,assets/ANC-4065_01.jpg,assets/products/ank/generated/ANC-4065/ANC-4065-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4066,배색라인 플레어 원피스,assets/ANC-4066_01.jpg,assets/products/ank/generated/ANC-4066/ANC-4066-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4067,빅리본 셔링 원피스,assets/ANC-4067_01.jpg,assets/products/ank/generated/ANC-4067/ANC-4067-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4068,리본셔링 플레어 원피스,assets/ANC-4068_01.jpg,assets/products/ank/generated/ANC-4068/ANC-4068-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4069,랩셔링 스커트 원피스,assets/ANC-4069_01.jpg,assets/products/ank/generated/ANC-4069/ANC-4069-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4070,도트플레어 원피스,assets/ANC-4070_01.jpg,assets/products/ank/generated/ANC-4070/ANC-4070-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4071,셔츠카라 랩스커트 원피스,assets/ANC-4071_01.jpg,assets/products/ank/generated/ANC-4071/ANC-4071-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4072,플라워레이스 플레어 원피스,assets/ANC-4072_01.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4073,드레이프셔링 원피스,assets/ANC-4073_01.jpg,assets/products/ank/generated/ANC-4073/ANC-4073-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4074,레이스칼라 플레어 원피스,assets/ANC-4074_01.jpg,assets/products/ank/generated/ANC-4074/ANC-4074-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4075,오프숄더 버튼 플레어 원피스,assets/ANC-4075_01.jpg,assets/products/ank/generated/ANC-4075/ANC-4075-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4076,스퀘어넥 플레어 원피스,assets/ANC-4076_01.jpg,assets/products/ank/generated/ANC-4076/ANC-4076-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4077,더블버튼 셔링 원피스,assets/ANC-4077_01.jpg,assets/products/ank/generated/ANC-4077/ANC-4077-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4078,배색라인 플레어 원피스,assets/ANC-4078_01.jpg,assets/products/ank/generated/ANC-4078/ANC-4078-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4079,버튼셔링 원피스,assets/ANC-4079_01.jpg,assets/products/ank/generated/ANC-4079/ANC-4079-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4080,레이스블라우스 셔링 원피스,assets/ANC-4080_01.jpg,assets/products/ank/generated/ANC-4080/ANC-4080-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4081,셔츠버튼 원피스,assets/ANC-4081_01.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4082,더블버튼 플레어 원피스,assets/ANC-4082_01.jpg,assets/products/ank/generated/ANC-4082/ANC-4082-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4083,랩러플 셔링 원피스,assets/ANC-4083_01.jpg,assets/products/ank/generated/ANC-4083/ANC-4083-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4084,벨트포인트 플레어 원피스,assets/ANC-4084_01.jpg,assets/products/ank/generated/ANC-4084/ANC-4084-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4085,레이스블라우스 셔링 원피스,assets/ANC-4085_01.jpg,assets/products/ank/generated/ANC-4085/ANC-4085-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4086,빅리본 플레어 원피스,assets/ANC-4086_01.jpg,assets/products/ank/generated/ANC-4086/ANC-4086-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4087,랩카라 셔링 원피스,assets/ANC-4087_01.jpg,assets/products/ank/generated/ANC-4087/ANC-4087-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4088,퍼프소매 버튼 플레어 원피스,assets/ANC-4088_01.jpg,assets/products/ank/generated/ANC-4088/ANC-4088-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4089,레이스블라우스 셔링 원피스,assets/ANC-4089_01.jpg,assets/products/ank/generated/ANC-4089/ANC-4089-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4090,리본스트랩 플레어 원피스,assets/ANC-4090_01.jpg,assets/products/ank/generated/ANC-4090/ANC-4090-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4091,베스트버튼 셔링 원피스,assets/ANC-4091_01.jpg,assets/products/ank/generated/ANC-4091/ANC-4091-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4092,스트라이프뷔스티에 플레어 원피스,assets/ANC-4092_01.jpg,assets/products/ank/generated/ANC-4092/ANC-4092-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4093,스퀘어넥 포켓 원피스,assets/ANC-4093_01.jpg,assets/products/ank/generated/ANC-4093/ANC-4093-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4094,버튼 플레어 원피스,assets/ANC-4094_01.jpg,assets/products/ank/generated/ANC-4094/ANC-4094-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4095,잔셔링 원피스,assets/ANC-4095_01.jpg,assets/products/ank/generated/ANC-4095/ANC-4095-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4096,배색카라 플레어 원피스,assets/ANC-4096_01.jpg,assets/products/ank/generated/ANC-4096/ANC-4096-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4097,스트라이프 니트 원피스,assets/ANC-4097_01.jpg,assets/products/ank/generated/ANC-4097/ANC-4097-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4098,퍼프소매 플레어 원피스,assets/ANC-4098_01.jpg,assets/products/ank/generated/ANC-4098/ANC-4098-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
