code,상품명,기존이미지경로,새이미지경로,대표이미지여부,상세이미지순서,컷구분,생성방식,검수상태,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,비고
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/ANC-4006_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4007,체크셔링 원피스,assets/ANC-4007_01.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/products/ank/generated/ANC-4007/ANC-4007-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4007,체크셔링 원피스,,assets/ANC-4007_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,7,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4008,펀칭레이스 플레어 원피스,assets/ANC-4008_01.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/products/ank/generated/ANC-4008/ANC-4008-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4008,펀칭레이스 플레어 원피스,,assets/ANC-4008_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,8,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4009,랩셔링 원피스,assets/ANC-4009_01.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/products/ank/generated/ANC-4009/ANC-4009-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4009,랩셔링 원피스,,assets/ANC-4009_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,9,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4010,스트라이프 플레어 원피스,assets/ANC-4010_01.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/products/ank/generated/ANC-4010/ANC-4010-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4010,스트라이프 플레어 원피스,,assets/ANC-4010_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,10,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4011,드레이프셔링 원피스,assets/ANC-4011_01.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,11,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4011,드레이프셔링 원피스,,assets/products/ank/generated/ANC-4011/ANC-4011-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,11,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4011,드레이프셔링 원피스,,assets/products/ank/generated/ANC-4011/ANC-4011-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,11,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4011,드레이프셔링 원피스,,assets/products/ank/generated/ANC-4011/ANC-4011-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,11,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4011,드레이프셔링 원피스,,assets/products/ank/generated/ANC-4011/ANC-4011-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,11,검수필요,기존 검수값 유지,기존 검수값 유지,
