code,상품명,1_메인컷,2_전신컷,3_측면또는후면,4_디테일컷,5_제품컷,컷구성판정,수정필요사항,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4011,드레이프셔링 원피스,assets/products/ank/generated/ANC-4011/ANC-4011-main.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-full.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-detail.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보
ANC-4012,더블버튼 플레어 원피스,assets/products/ank/generated/ANC-4012/ANC-4012-main.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-full.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-detail.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수
ANC-4013,리본블라우스 셔링 원피스,assets/products/ank/generated/ANC-4013/ANC-4013-main.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-full.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-detail.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,13,검수필요,적용후보,승인
ANC-4014,더블버튼 레이스 원피스,assets/products/ank/generated/ANC-4014/ANC-4014-main.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-full.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-detail.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수
ANC-4015,랩카라 셔링 원피스,assets/products/ank/generated/ANC-4015/ANC-4015-main.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-full.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-detail.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보
ANC-4016,스트라이프니트 플레어 원피스,assets/products/ank/generated/ANC-4016/ANC-4016-main.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-full.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-detail.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수
ANC-4017,레이스시스루 셔링 원피스,assets/products/ank/generated/ANC-4017/ANC-4017-main.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-full.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-detail.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,17,검수필요,적용후보,승인
ANC-4018,숄더포인트 플레어 원피스,assets/products/ank/generated/ANC-4018/ANC-4018-main.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-full.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-detail.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수
ANC-4019,드레이프셔링 원피스,assets/products/ank/generated/ANC-4019/ANC-4019-main.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-full.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-detail.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보
ANC-4020,블라우스배색 플레어 원피스,assets/products/ank/generated/ANC-4020/ANC-4020-main.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-full.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-front.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-detail-board.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-detail-neckline.jpg,수정필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수
ANC-4021,랩포인트 셔링 원피스,assets/products/ank/generated/ANC-4021/ANC-4021-main.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-full.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-detail.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,21,검수필요,재검수,적용후보
ANC-4022,스퀘어넥 버튼 플레어 원피스,assets/products/ank/generated/ANC-4022/ANC-4022-main.jpg,assets/products/ank/generated/ANC-4022/ANC-4022-full.jpg,assets/products/ank/generated/ANC-4022/ANC-4022-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4022/ANC-4022-detail.jpg,assets/products/ank/generated/ANC-4022/ANC-4022-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,22,검수필요,적용후보,재검수
ANC-4023,러플숄더 셔링 원피스,assets/products/ank/generated/ANC-4023/ANC-4023-main.jpg,assets/products/ank/generated/ANC-4023/ANC-4023-full.jpg,assets/products/ank/generated/ANC-4023/ANC-4023-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4023/ANC-4023-detail.jpg,assets/products/ank/generated/ANC-4023/ANC-4023-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,23,검수필요,적용후보,승인
ANC-4024,빅리본 플레어 원피스,assets/products/ank/generated/ANC-4024/ANC-4024-main.jpg,assets/products/ank/generated/ANC-4024/ANC-4024-full.jpg,assets/products/ank/generated/ANC-4024/ANC-4024-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4024/ANC-4024-detail.jpg,assets/products/ank/generated/ANC-4024/ANC-4024-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,24,검수필요,적용후보,재검수
ANC-4025,셔츠카라 랩스커트 원피스,assets/products/ank/generated/ANC-4025/ANC-4025-main.jpg,assets/products/ank/generated/ANC-4025/ANC-4025-full.jpg,assets/products/ank/generated/ANC-4025/ANC-4025-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4025/ANC-4025-detail.jpg,assets/products/ank/generated/ANC-4025/ANC-4025-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,25,검수필요,재검수,적용후보
ANC-4026,더블버튼 플레어 원피스,assets/products/ank/generated/ANC-4026/ANC-4026-main.jpg,assets/products/ank/generated/ANC-4026/ANC-4026-full.jpg,assets/products/ank/generated/ANC-4026/ANC-4026-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4026/ANC-4026-detail.jpg,assets/products/ank/generated/ANC-4026/ANC-4026-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,26,검수필요,적용후보,재검수
ANC-4027,프릴숄더 셔링 원피스,assets/products/ank/generated/ANC-4027/ANC-4027-main.jpg,assets/products/ank/generated/ANC-4027/ANC-4027-full.jpg,assets/products/ank/generated/ANC-4027/ANC-4027-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4027/ANC-4027-detail.jpg,assets/products/ank/generated/ANC-4027/ANC-4027-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,27,검수필요,적용후보,승인
ANC-4028,배색라인 플레어 원피스,assets/products/ank/generated/ANC-4028/ANC-4028-main.jpg,assets/products/ank/generated/ANC-4028/ANC-4028-full.jpg,assets/products/ank/generated/ANC-4028/ANC-4028-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4028/ANC-4028-detail.jpg,assets/products/ank/generated/ANC-4028/ANC-4028-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,28,검수필요,적용후보,재검수
ANC-4029,스트라이프 리본 원피스,assets/products/ank/generated/ANC-4029/ANC-4029-main.jpg,assets/products/ank/generated/ANC-4029/ANC-4029-full.jpg,assets/products/ank/generated/ANC-4029/ANC-4029-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4029/ANC-4029-detail.jpg,assets/products/ank/generated/ANC-4029/ANC-4029-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,29,검수필요,적용후보,재검수
ANC-4030,레이스숄더 플레어 원피스,assets/products/ank/generated/ANC-4030/ANC-4030-main.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-full.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-detail.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,30,검수필요,적용후보,재검수
ANC-4031,사이드드레이프 언발 원피스,assets/products/ank/generated/ANC-4031/ANC-4031-main.jpg,assets/products/ank/generated/ANC-4031/ANC-4031-full.jpg,assets/products/ank/generated/ANC-4031/ANC-4031-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4031/ANC-4031-detail.jpg,assets/products/ank/generated/ANC-4031/ANC-4031-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,31,검수필요,재검수,적용후보
ANC-4032,레이스플레어 원피스,assets/products/ank/generated/ANC-4032/ANC-4032-main.jpg,assets/products/ank/generated/ANC-4032/ANC-4032-full.jpg,assets/products/ank/generated/ANC-4032/ANC-4032-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4032/ANC-4032-detail.jpg,assets/products/ank/generated/ANC-4032/ANC-4032-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,32,검수필요,적용후보,재검수
ANC-4033,스퀘어넥 버튼 원피스,assets/products/ank/generated/ANC-4033/ANC-4033-main.jpg,assets/products/ank/generated/ANC-4033/ANC-4033-full.jpg,assets/products/ank/generated/ANC-4033/ANC-4033-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4033/ANC-4033-detail.jpg,assets/products/ank/generated/ANC-4033/ANC-4033-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,33,검수필요,적용후보,재검수
ANC-4034,프릴라인 플레어 원피스,assets/products/ank/generated/ANC-4034/ANC-4034-main.jpg,assets/products/ank/generated/ANC-4034/ANC-4034-full.jpg,assets/products/ank/generated/ANC-4034/ANC-4034-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4034/ANC-4034-detail.jpg,assets/products/ank/generated/ANC-4034/ANC-4034-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,34,검수필요,적용후보,재검수
ANC-4035,오프숄더 리본 원피스,assets/products/ank/generated/ANC-4035/ANC-4035-main.jpg,assets/products/ank/generated/ANC-4035/ANC-4035-full.jpg,assets/products/ank/generated/ANC-4035/ANC-4035-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4035/ANC-4035-detail.jpg,assets/products/ank/generated/ANC-4035/ANC-4035-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,35,검수필요,적용후보,재검수
ANC-4036,카라버튼 플레어 원피스,assets/products/ank/generated/ANC-4036/ANC-4036-main.jpg,assets/products/ank/generated/ANC-4036/ANC-4036-full.jpg,assets/products/ank/generated/ANC-4036/ANC-4036-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4036/ANC-4036-detail.jpg,assets/products/ank/generated/ANC-4036/ANC-4036-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,36,검수필요,적용후보,재검수
ANC-4037,리본블라우스 배색 원피스,assets/products/ank/generated/ANC-4037/ANC-4037-main.jpg,assets/products/ank/generated/ANC-4037/ANC-4037-full.jpg,assets/products/ank/generated/ANC-4037/ANC-4037-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4037/ANC-4037-detail.jpg,assets/products/ank/generated/ANC-4037/ANC-4037-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,37,검수필요,적용후보,재검수
ANC-4038,체크버튼 플레어 원피스,assets/products/ank/generated/ANC-4038/ANC-4038-main.jpg,assets/products/ank/generated/ANC-4038/ANC-4038-full.jpg,assets/products/ank/generated/ANC-4038/ANC-4038-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4038/ANC-4038-detail.jpg,assets/products/ank/generated/ANC-4038/ANC-4038-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,38,검수필요,적용후보,재검수
ANC-4039,배색플레어 원피스,assets/products/ank/generated/ANC-4039/ANC-4039-main.jpg,assets/products/ank/generated/ANC-4039/ANC-4039-full.jpg,assets/products/ank/generated/ANC-4039/ANC-4039-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4039/ANC-4039-detail.jpg,assets/products/ank/generated/ANC-4039/ANC-4039-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,39,검수필요,적용후보,재검수
ANC-4040,오프숄더 드레이프 원피스,assets/products/ank/generated/ANC-4040/ANC-4040-main.jpg,assets/products/ank/generated/ANC-4040/ANC-4040-full.jpg,assets/products/ank/generated/ANC-4040/ANC-4040-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4040/ANC-4040-detail.jpg,assets/products/ank/generated/ANC-4040/ANC-4040-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,40,검수필요,재검수,적용후보
ANC-4041,레이스블라우스 셔링 원피스,assets/products/ank/generated/ANC-4041/ANC-4041-main.jpg,assets/products/ank/generated/ANC-4041/ANC-4041-full.jpg,assets/products/ank/generated/ANC-4041/ANC-4041-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4041/ANC-4041-detail.jpg,assets/products/ank/generated/ANC-4041/ANC-4041-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,41,검수필요,적용후보,승인
ANC-4042,셔츠카라 플레어 원피스,assets/products/ank/generated/ANC-4042/ANC-4042-main.jpg,assets/products/ank/generated/ANC-4042/ANC-4042-full.jpg,assets/products/ank/generated/ANC-4042/ANC-4042-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4042/ANC-4042-detail.jpg,assets/products/ank/generated/ANC-4042/ANC-4042-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,42,검수필요,적용후보,재검수
ANC-4043,레이스브이넥 셔링 원피스,assets/products/ank/generated/ANC-4043/ANC-4043-main.jpg,assets/products/ank/generated/ANC-4043/ANC-4043-full.jpg,assets/products/ank/generated/ANC-4043/ANC-4043-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4043/ANC-4043-detail.jpg,assets/products/ank/generated/ANC-4043/ANC-4043-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,43,검수필요,적용후보,승인
ANC-4044,레이스라인 플레어 원피스,assets/products/ank/generated/ANC-4044/ANC-4044-main.jpg,assets/products/ank/generated/ANC-4044/ANC-4044-full.jpg,assets/products/ank/generated/ANC-4044/ANC-4044-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4044/ANC-4044-detail.jpg,assets/products/ank/generated/ANC-4044/ANC-4044-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,44,검수필요,적용후보,재검수
ANC-4045,카울넥 드레이프 원피스,assets/products/ank/generated/ANC-4045/ANC-4045-main.jpg,assets/products/ank/generated/ANC-4045/ANC-4045-full.jpg,assets/products/ank/generated/ANC-4045/ANC-4045-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4045/ANC-4045-detail.jpg,assets/products/ank/generated/ANC-4045/ANC-4045-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,45,검수필요,재검수,적용후보
ANC-4046,레이스백 셔링 원피스,assets/products/ank/generated/ANC-4046/ANC-4046-main.jpg,assets/products/ank/generated/ANC-4046/ANC-4046-full.jpg,assets/products/ank/generated/ANC-4046/ANC-4046-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4046/ANC-4046-detail.jpg,assets/products/ank/generated/ANC-4046/ANC-4046-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,46,검수필요,적용후보,승인
