code,변경항목,기존값,제안값,변경사유,검수상태,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4006,images,assets/ANC-4006_01.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-main.jpg / assets/products/ank/generated/ANC-4006/ANC-4006-full.jpg / assets/products/ank/generated/ANC-4006/ANC-4006-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4006/ANC-4006-detail.jpg / assets/products/ank/generated/ANC-4006/ANC-4006-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수
ANC-4006,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수
ANC-4007,images,assets/ANC-4007_01.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-main.jpg / assets/products/ank/generated/ANC-4007/ANC-4007-full.jpg / assets/products/ank/generated/ANC-4007/ANC-4007-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4007/ANC-4007-detail.jpg / assets/products/ank/generated/ANC-4007/ANC-4007-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,7,검수필요,적용후보,승인
ANC-4007,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 셔링 체크 러블리데일리 / 원피스 셔링 체크 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 셔링 체크 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,7,검수필요,적용후보,승인
ANC-4008,images,assets/ANC-4008_01.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-main.jpg / assets/products/ank/generated/ANC-4008/ANC-4008-full.jpg / assets/products/ank/generated/ANC-4008/ANC-4008-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4008/ANC-4008-detail.jpg / assets/products/ank/generated/ANC-4008/ANC-4008-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수
ANC-4008,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 펀칭 러블리데일리 / 원피스 레이스 플레어 펀칭 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 펀칭 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수
ANC-4009,images,assets/ANC-4009_01.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-main.jpg / assets/products/ank/generated/ANC-4009/ANC-4009-full.jpg / assets/products/ank/generated/ANC-4009/ANC-4009-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4009/ANC-4009-detail.jpg / assets/products/ank/generated/ANC-4009/ANC-4009-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보
ANC-4009,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / 원피스 셔링 랩 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보
ANC-4010,images,assets/ANC-4010_01.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-main.jpg / assets/products/ank/generated/ANC-4010/ANC-4010-full.jpg / assets/products/ank/generated/ANC-4010/ANC-4010-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4010/ANC-4010-detail.jpg / assets/products/ank/generated/ANC-4010/ANC-4010-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수
ANC-4010,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / 원피스 플레어 스트라이프 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수
ANC-4011,images,assets/ANC-4011_01.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-main.jpg / assets/products/ank/generated/ANC-4011/ANC-4011-full.jpg / assets/products/ank/generated/ANC-4011/ANC-4011-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4011/ANC-4011-detail.jpg / assets/products/ank/generated/ANC-4011/ANC-4011-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보
ANC-4011,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / 원피스 셔링 드레이프 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보
ANC-4012,images,assets/ANC-4012_01.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-main.jpg / assets/products/ank/generated/ANC-4012/ANC-4012-full.jpg / assets/products/ank/generated/ANC-4012/ANC-4012-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4012/ANC-4012-detail.jpg / assets/products/ank/generated/ANC-4012/ANC-4012-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수
ANC-4012,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / 원피스 더블버튼 버튼 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 더블버튼 버튼 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수
ANC-4013,images,assets/ANC-4013_01.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-main.jpg / assets/products/ank/generated/ANC-4013/ANC-4013-full.jpg / assets/products/ank/generated/ANC-4013/ANC-4013-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4013/ANC-4013-detail.jpg / assets/products/ank/generated/ANC-4013/ANC-4013-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,13,검수필요,적용후보,승인
ANC-4013,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 셔링 러블리데일리 / 원피스 리본 셔링 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 리본 셔링 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,13,검수필요,적용후보,승인
ANC-4014,images,assets/ANC-4014_01.jpg,assets/products/ank/generated/ANC-4014/ANC-4014-main.jpg / assets/products/ank/generated/ANC-4014/ANC-4014-full.jpg / assets/products/ank/generated/ANC-4014/ANC-4014-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4014/ANC-4014-detail.jpg / assets/products/ank/generated/ANC-4014/ANC-4014-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수
ANC-4014,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 더블버튼 버튼 러블리데일리 / 원피스 레이스 더블버튼 버튼 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 더블버튼 버튼 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수
ANC-4015,images,assets/ANC-4015_01.jpg,assets/products/ank/generated/ANC-4015/ANC-4015-main.jpg / assets/products/ank/generated/ANC-4015/ANC-4015-full.jpg / assets/products/ank/generated/ANC-4015/ANC-4015-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4015/ANC-4015-detail.jpg / assets/products/ank/generated/ANC-4015/ANC-4015-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보
ANC-4015,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔링 랩 슬림글램 / 원피스 카라 셔링 랩 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 카라 셔링 랩 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보
ANC-4016,images,assets/ANC-4016_01.jpg,assets/products/ank/generated/ANC-4016/ANC-4016-main.jpg / assets/products/ank/generated/ANC-4016/ANC-4016-full.jpg / assets/products/ank/generated/ANC-4016/ANC-4016-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4016/ANC-4016-detail.jpg / assets/products/ank/generated/ANC-4016/ANC-4016-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수
ANC-4016,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / 원피스 플레어 스트라이프 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수
ANC-4017,images,assets/ANC-4017_01.jpg,assets/products/ank/generated/ANC-4017/ANC-4017-main.jpg / assets/products/ank/generated/ANC-4017/ANC-4017-full.jpg / assets/products/ank/generated/ANC-4017/ANC-4017-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4017/ANC-4017-detail.jpg / assets/products/ank/generated/ANC-4017/ANC-4017-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,17,검수필요,적용후보,승인
ANC-4017,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 셔링 시스루 러블리데일리 / 원피스 레이스 셔링 시스루 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 셔링 시스루 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,승인완료,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,17,검수필요,적용후보,승인
ANC-4018,images,assets/ANC-4018_01.jpg,assets/products/ank/generated/ANC-4018/ANC-4018-main.jpg / assets/products/ank/generated/ANC-4018/ANC-4018-full.jpg / assets/products/ank/generated/ANC-4018/ANC-4018-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4018/ANC-4018-detail.jpg / assets/products/ank/generated/ANC-4018/ANC-4018-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수
ANC-4018,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 러블리데일리 / 원피스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수
ANC-4019,images,assets/ANC-4019_01.jpg,assets/products/ank/generated/ANC-4019/ANC-4019-main.jpg / assets/products/ank/generated/ANC-4019/ANC-4019-full.jpg / assets/products/ank/generated/ANC-4019/ANC-4019-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4019/ANC-4019-detail.jpg / assets/products/ank/generated/ANC-4019/ANC-4019-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보
ANC-4019,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / 원피스 셔링 드레이프 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 드레이프 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보
ANC-4020,images,assets/products/ank/generated/ANC-4020/ANC-4020-main.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-full.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-front.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-upper.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-lower.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-product.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-neckline.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-waist.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-hem.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-fabric.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-board.jpg / assets/ANC-4020_01.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-main.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-full.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-front.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-board.jpg / assets/products/ank/generated/ANC-4020/ANC-4020-detail-neckline.jpg,생성컷/기존컷 순서 검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수
ANC-4020,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수
ANC-4021,images,assets/ANC-4021_01.jpg,assets/products/ank/generated/ANC-4021/ANC-4021-main.jpg / assets/products/ank/generated/ANC-4021/ANC-4021-full.jpg / assets/products/ank/generated/ANC-4021/ANC-4021-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4021/ANC-4021-detail.jpg / assets/products/ank/generated/ANC-4021/ANC-4021-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,21,검수필요,재검수,적용후보
