code,검수결과,반영상태,사유,다음작업
ANC-4032,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4033,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4034,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4035,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4036,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4037,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4038,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4039,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4040,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4041,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4042,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4043,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4044,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4045,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4046,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4047,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4048,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4049,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4050,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4051,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4052,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4053,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4054,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4055,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4056,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4057,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4058,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4059,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4060,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4061,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4062,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4063,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4064,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4065,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4066,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4067,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4068,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4069,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4070,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4071,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4072,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4073,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4074,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4075,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4076,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4077,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4078,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4079,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4080,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4081,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4082,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4083,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4084,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4085,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4086,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4087,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4088,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4089,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4090,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4091,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4092,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4093,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4094,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4095,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4096,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4097,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4098,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
