code,상품명,A라인 재검수 필요,슬림핏 재검수 필요,실물대조 필요,컷순서 수정필요,예외사유,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4018,숄더포인트 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수
ANC-4019,드레이프셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보
ANC-4020,블라우스배색 플레어 원피스,아니오,예,아니오,예,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수
ANC-4021,랩포인트 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,21,검수필요,재검수,적용후보
ANC-4022,스퀘어넥 버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,22,검수필요,적용후보,재검수
ANC-4024,빅리본 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,24,검수필요,적용후보,재검수
ANC-4025,셔츠카라 랩스커트 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,25,검수필요,재검수,적용후보
ANC-4026,더블버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,26,검수필요,적용후보,재검수
ANC-4028,배색라인 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,28,검수필요,적용후보,재검수
ANC-4029,스트라이프 리본 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,29,검수필요,적용후보,재검수
ANC-4030,레이스숄더 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,30,검수필요,적용후보,재검수
ANC-4031,사이드드레이프 언발 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,31,검수필요,재검수,적용후보
ANC-4032,레이스플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,32,검수필요,적용후보,재검수
ANC-4033,스퀘어넥 버튼 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,33,검수필요,적용후보,재검수
ANC-4034,프릴라인 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,34,검수필요,적용후보,재검수
ANC-4035,오프숄더 리본 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,35,검수필요,적용후보,재검수
ANC-4036,카라버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,36,검수필요,적용후보,재검수
ANC-4037,리본블라우스 배색 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,37,검수필요,적용후보,재검수
ANC-4038,체크버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,38,검수필요,적용후보,재검수
ANC-4039,배색플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,39,검수필요,적용후보,재검수
ANC-4040,오프숄더 드레이프 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,40,검수필요,재검수,적용후보
ANC-4042,셔츠카라 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,42,검수필요,적용후보,재검수
ANC-4044,레이스라인 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,44,검수필요,적용후보,재검수
ANC-4045,카울넥 드레이프 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,45,검수필요,재검수,적용후보
ANC-4048,배색카라 트임 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,48,검수필요,재검수,적용후보
ANC-4049,랩셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,49,검수필요,재검수,적용후보
ANC-4050,레이스헴 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,50,검수필요,적용후보,재검수
ANC-4051,스퀘어넥 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,51,검수필요,재검수,적용후보
ANC-4052,레이스플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,52,검수필요,적용후보,재검수
ANC-4053,러플숄더 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,53,검수필요,적용후보,재검수
ANC-4054,더블버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,54,검수필요,적용후보,재검수
ANC-4055,오프숄더 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,55,검수필요,재검수,적용후보
ANC-4056,빅리본 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,56,검수필요,적용후보,재검수
ANC-4057,잔셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,57,검수필요,재검수,적용후보
ANC-4058,더블버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,58,검수필요,적용후보,재검수
ANC-4059,오프숄더 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,59,검수필요,재검수,적용후보
ANC-4060,레이스숄더 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,60,검수필요,적용후보,재검수
ANC-4061,스트라이프 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,61,검수필요,재검수,적용후보
ANC-4062,레이스브이넥 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,62,검수필요,적용후보,재검수
ANC-4063,셔링카라 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,63,검수필요,재검수,적용후보
ANC-4064,하트버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,64,검수필요,적용후보,재검수
ANC-4065,레이스백 러플 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,65,검수필요,적용후보,재검수
ANC-4066,배색라인 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,66,검수필요,적용후보,재검수
ANC-4069,랩셔링 스커트 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,69,검수필요,재검수,적용후보
ANC-4070,도트플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,70,검수필요,적용후보,재검수
ANC-4071,셔츠카라 랩스커트 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,71,검수필요,재검수,적용후보
ANC-4072,플라워레이스 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,72,검수필요,적용후보,재검수
ANC-4073,드레이프셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,73,검수필요,재검수,적용후보
ANC-4074,레이스칼라 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,74,검수필요,적용후보,재검수
ANC-4075,오프숄더 버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,75,검수필요,적용후보,재검수
ANC-4076,스퀘어넥 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,76,검수필요,적용후보,재검수
ANC-4077,더블버튼 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,77,검수필요,재검수,적용후보
ANC-4078,배색라인 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,78,검수필요,적용후보,재검수
ANC-4079,버튼셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,79,검수필요,재검수,적용후보
ANC-4081,셔츠버튼 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,81,검수필요,적용후보,재검수
ANC-4082,더블버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,82,검수필요,적용후보,재검수
ANC-4084,벨트포인트 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,84,검수필요,적용후보,재검수
ANC-4086,빅리본 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,86,검수필요,적용후보,재검수
ANC-4087,랩카라 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,87,검수필요,재검수,적용후보
ANC-4088,퍼프소매 버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,88,검수필요,적용후보,재검수
ANC-4090,리본스트랩 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,90,검수필요,적용후보,재검수
ANC-4091,베스트버튼 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,91,검수필요,재검수,적용후보
ANC-4092,스트라이프뷔스티에 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,92,검수필요,적용후보,재검수
ANC-4093,스퀘어넥 포켓 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,93,검수필요,적용후보,재검수
ANC-4094,버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,94,검수필요,적용후보,재검수
ANC-4095,잔셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,95,검수필요,재검수,적용후보
ANC-4096,배색카라 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,96,검수필요,적용후보,재검수
ANC-4097,스트라이프 니트 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,97,검수필요,적용후보,재검수
ANC-4098,퍼프소매 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,98,검수필요,적용후보,재검수
